,User,ForumParticipation,ForumView,Assessment,Resource
226,3617,1,22,7,325
227,3618,0,4,8,360
228,3619,1,7,11,303
229,3620,0,1,8,207
230,3621,1,16,8,254
231,3622,1,31,9,315
232,3623,0,26,11,282
233,3624,1,26,7,483
234,3625,1,22,16,626
235,3626,1,36,8,289
236,3627,4,12,7,239
237,3628,1,34,8,644
238,3629,2,36,7,251
239,3630,0,5,14,435
240,3631,1,2,12,452
241,3632,0,4,13,263
242,3633,0,7,7,319
243,3635,1,35,12,339
244,3636,1,23,9,389
245,3637,0,10,15,330
246,3638,1,6,7,364
247,3639,1,2,8,279
248,3640,1,14,7,405
249,3641,1,20,12,384
250,3642,1,6,14,374
251,3643,1,16,9,461
252,3644,1,19,18,504
253,3645,1,11,8,384
254,3646,1,44,9,414
255,3647,0,1,9,305
256,3648,0,2,7,206
257,3649,0,5,9,431
258,3650,1,7,7,478
259,3651,1,56,8,401
260,3652,1,18,9,264
261,3653,1,21,8,501
262,3654,1,16,8,199
263,3655,1,12,13,502
264,3656,0,4,9,209
265,3657,1,12,12,465
266,3658,0,22,9,1219
267,3659,1,10,17,230
268,3660,1,10,8,238
269,3661,2,19,18,493
270,3662,0,8,14,404
271,3663,0,10,7,265
272,3664,0,7,8,264
273,3665,1,8,7,425
274,3667,1,8,14,444
275,3669,1,12,8,260
276,3670,0,7,7,424
277,3671,1,7,10,787
278,3672,0,10,9,409
279,3673,0,7,10,409
280,3674,1,1,9,235
281,3675,1,4,8,257
282,3676,1,20,10,411
283,3678,2,18,7,340
284,3679,0,11,12,338
285,3680,0,10,10,415
286,3681,0,11,8,347
287,3682,0,1,9,272
288,3683,1,23,8,392
289,3684,1,15,13,309
290,3685,0,4,9,185
291,3687,1,20,8,366
292,3688,0,4,8,360
293,3689,0,1,8,207
294,3690,1,9,7,229
295,3692,0,8,10,280
296,3693,0,9,7,324
297,3694,1,17,8,277
298,3695,0,4,7,506
299,3696,1,15,10,382
300,3697,0,2,7,239
301,3698,0,2,8,272
302,3699,1,24,7,252
303,3700,0,4,8,365
304,3702,0,2,8,160
305,3703,1,7,10,378
306,3704,0,1,8,188
307,3705,0,2,8,379
308,3706,0,4,7,714
309,3707,0,2,18,366
310,3708,0,7,12,633
311,3709,1,31,14,428
312,3710,1,7,7,473
313,3711,0,17,8,376
314,3712,1,5,14,277
315,3713,1,17,15,205
316,3714,1,24,14,564
317,3715,1,16,10,263
318,3716,0,2,14,339
319,3717,2,11,7,242
320,3718,0,18,10,367
321,3719,0,10,7,448
322,3720,1,16,8,277
323,3721,1,6,7,374
324,3722,0,50,8,608
325,3724,1,23,8,407
326,3725,1,12,9,256
327,3726,0,13,12,386
328,3727,1,8,9,629
329,3728,1,14,16,335
330,3729,0,3,10,292
331,3730,1,8,8,350
332,3732,0,0,8,352
333,3733,0,1,8,241
334,3734,2,9,11,445
335,3735,0,0,7,168
336,3736,0,23,11,505
337,3737,1,5,9,246
338,3738,0,9,9,364
339,3739,0,2,9,400
340,3740,1,20,11,437
341,3741,0,14,8,335
342,3743,0,3,8,129
343,3744,0,9,8,326
344,3745,1,20,8,568
345,3746,1,8,8,508
346,3747,0,10,9,262
347,3748,1,21,12,425
348,3749,1,5,9,351
349,3750,1,7,15,210
350,3751,0,10,8,457
351,3752,0,9,9,191
352,3753,0,1,8,315
353,3754,1,54,13,1730
354,3755,1,5,8,278
355,3756,0,13,17,352
356,3757,0,10,9,345
357,3758,0,5,9,268
358,3759,0,31,10,578
359,3760,1,32,7,679
360,3761,1,19,8,437
361,3762,0,4,8,197
362,3763,0,1,8,193
363,3764,2,3,15,408
364,3765,0,10,9,894
365,3766,1,22,9,355
366,3767,1,48,9,448
367,3768,1,3,8,285
368,3769,1,14,17,394
369,3770,0,6,15,419
370,3771,2,21,8,294
371,3772,0,18,11,374
372,3773,1,6,9,377
373,3774,2,23,9,412
374,3775,1,37,8,793
375,3776,1,9,10,425
376,3777,1,17,13,268
377,3778,1,27,9,425
378,3780,1,8,7,235
379,3781,0,4,7,345
380,3782,1,10,14,439
381,3783,0,35,8,325
382,3784,0,0,9,242
383,3785,1,17,10,278
384,3786,0,9,8,410
385,3787,1,4,7,410
386,3789,0,9,7,343
387,3790,0,20,15,243
388,3791,0,1,9,277
389,3792,1,45,15,566
390,3793,0,7,7,215
391,3794,1,10,11,346
392,3795,1,12,9,270
393,3796,0,0,8,308
394,3797,0,2,10,236
395,3798,1,5,13,373
396,3799,0,19,12,426
397,3800,1,11,10,484
398,3801,2,16,13,319
399,3802,1,25,8,469
400,3803,0,5,8,265
401,3804,0,4,8,345
402,3805,0,2,10,395
403,3806,1,23,10,178
404,3807,1,11,13,512
405,3808,2,7,9,291
406,3809,0,13,8,426
407,3810,1,9,7,191
408,3811,1,7,14,315
409,3812,1,33,7,326
410,3813,1,15,14,296
411,3814,0,2,8,364
412,3815,0,3,9,390
413,3816,0,4,8,292
414,3817,0,2,7,217
415,3818,1,24,8,533
416,3819,1,12,10,352
417,3820,1,20,14,305
418,3821,0,15,9,412
419,3822,1,19,8,579
420,3823,1,23,14,319
421,3824,1,10,7,396
422,3825,1,11,7,333
423,3826,1,4,14,575
424,3827,1,8,15,448
425,3828,1,22,8,309
426,3829,0,2,9,396
427,3830,0,15,14,289
428,3831,1,8,9,250
429,3832,0,15,8,426
430,3833,0,4,8,237
431,3834,0,5,11,315
432,3836,1,9,10,243
433,3837,3,23,8,322
434,3838,0,3,7,308
435,3839,0,17,14,388
436,3886,15,125,0,303
437,3889,0,12,8,335
438,3890,1,10,16,351
439,3891,0,6,11,451
440,3892,0,24,15,315
441,3893,0,2,7,157
442,3894,0,20,14,393
443,3895,0,11,8,385
444,3896,1,28,8,381
445,3897,0,7,12,326
446,3898,0,8,13,375
447,3899,0,12,7,237
448,3900,0,7,15,289
449,3901,0,8,9,494
450,3902,2,37,11,443
451,3903,1,7,15,323
452,3904,0,15,9,431
453,3905,1,45,7,282
454,3906,1,18,8,352
455,3907,0,4,8,280
456,3908,0,3,8,198
457,3909,2,18,9,759
458,3910,0,45,8,886
459,3911,1,23,14,667
460,3912,0,5,8,299
461,3913,0,5,8,332
462,3914,0,14,7,297
463,3915,0,6,17,479
464,3916,1,18,13,410
465,3917,0,23,8,470
466,3918,0,2,10,377
467,3919,0,0,8,349
468,3920,1,11,15,322
469,3921,0,8,9,299
470,3922,2,15,8,692
471,3923,1,14,7,273
472,3924,0,6,11,465
473,3925,0,5,12,306
474,3926,0,1,4,305
475,3927,1,15,10,284
476,3928,0,21,8,589
477,3929,0,15,3,171
478,3930,0,25,7,337
479,3931,0,2,8,370
480,3932,0,10,8,337
481,3933,0,29,7,398
482,3934,1,4,13,175
483,3935,0,12,11,334
484,3936,0,10,8,334
485,3937,0,15,9,299
486,3938,1,35,7,419
487,4037,0,0,0,15
488,4145,0,0,0,2
489,54,5,27,0,162
490,8,0,0,0,3
491,94,0,0,0,6
492,972,0,0,0,0
